Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Email_customerpassword""), ""UDMlkmqWREzH+mr49N5wRw=="")",Chrome 130.0.0.0,,,01-11-2024 15:56:48,01-11-2024 15:56:49,0.325s,PASSED
"takeScreenshot(screenshotFolderPath + ""correctBefore.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:49,01-11-2024 15:56:49,0.320s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,01-11-2024 15:56:49,01-11-2024 15:56:51,2.568s,PASSED
"takeScreenshot(screenshotFolderPath + ""correctAfter.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:51,01-11-2024 15:56:53,1.451s,PASSED
"verifyTextPresent(verify_home_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:53,01-11-2024 15:56:53,0.292s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_page_post_login.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:53,01-11-2024 15:56:54,1.028s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,01-11-2024 15:56:54,01-11-2024 15:56:56,1.348s,PASSED
"takeScreenshot(screenshotFolderPath + ""logout.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:56,01-11-2024 15:56:56,0.911s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Log out""))",Chrome 130.0.0.0,,,01-11-2024 15:56:56,01-11-2024 15:56:59,2.075s,PASSED
"verifyTextPresent(verify_home_page, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:59,01-11-2024 15:56:59,0.911s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,01-11-2024 15:56:59,01-11-2024 15:57:00,0.646s,PASSED
,,,,,,,
Test Cases/Threads_Webshop/2 Login/Verify Login,Chrome 130.0.0.0,,,01-11-2024 15:57:00,01-11-2024 15:57:49,48.488s,PASSED
